Your Publication's Number|Title|Earliest Priority Date|Publication Date|Assignee(s)|Inventors|CPC Codes
US10463365_B2|Chip assembly for surgical instruments|10/17/2013|11/5/2019|COVIDIEN|Williams, Justin (Naugatuck)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8760226_B2|Class resonant-H electrosurgical generators|11/16/2009|6/24/2014|COVIDIEN|Gilbert, James A. (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H03F: AMPLIFIERS;
H03K: PULSE TECHNIQUE"
US8779852_B2|Class resonant-H electrosurgical generators|11/16/2009|7/15/2014|COVIDIEN|Gilbert, James A. (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H03F: AMPLIFIERS;
H03K: PULSE TECHNIQUE"
US9027818_B2|Locking articulation mechanism|3/31/2011|5/12/2015|COVIDIEN|"Scirica, Paul A. (Huntington);
Cappola, Kenneth M. (Monroe)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20140128858_A1|Systems and methods for performing endometrial ablation|11/8/2012|5/8/2014|COVIDIEN|Orszulak, James H. (Nederland)|"A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US20140194875_A1|Surgical forceps|1/10/2013|7/10/2014|COVIDIEN|"Mueller, Peter M. (Frederick);
Reschke, Arlen J. (Longmont);
Couture, Gary M. (Longmont);
Anderson, Sara E. (Erie);
Coulson, Rebecca J. (Lyons);
Dickhans, William J. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8894641_B2|System and method for monitoring ablation size|10/27/2009|11/25/2014|COVIDIEN|Brannan, Joseph D. (Erie)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY"
US9119630_B2|Surgical forceps|4/21/2011|9/1/2015|"COVIDIEN;
TYCO HEALTHCARE"|"Townsend, Jeffrey R. (Loveland);
Sims, Grant T. (Littleton);
Collings, Chase (Hayden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9615893_B2|Seal cleaning obturator|11/14/2012|4/11/2017|"COVIDIEN;
DARTMOUTH COLLEGE"|"Okoniewski, Gregory G. (North Haven);
Rodrigues, Jr. Anibal (Milford)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9655620_B2|Circular surgical stapling device including buttress material|10/28/2013|5/23/2017|COVIDIEN|"Prescott, Michael R. (Hamden);
Stevenson, Richard P. (Colchester)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9887562_B2|Smart cart|12/3/2012|2/6/2018|COVIDIEN|"Racenet, David (Killingworth);
Racenet, Danyel (Killingworth);
Alfieri, Francesco (Lincoln);
Sapre, Parag (Yardley)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H02J: CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY;
F04C: ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS ; ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS"
US9901399_B2|Ablation probe with tissue sensing configuration|12/17/2012|2/27/2018|COVIDIEN|"Dunning, James E. (Lafayette);
Larson, Eric W. (Commerce City);
Mchenry, Jennifer (Denver)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
B23K: SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY, e.g. FLAME CUTTING; WORKING BY LASER BEAM;
H05B: ELECTRIC HEATING; ELECTRIC LIGHTING NOT OTHERWISE PROVIDED FOR;
H01R: ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS"
US20140221994_A1|Electrosurgical instrument|2/5/2013|8/7/2014|COVIDIEN|Reschke, Arlen J. (Longmont)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9237927_B2|Flow rate monitor for fluid cooled microwave ablation probe|9/29/2009|1/19/2016|COVIDIEN|Brannan, Joseph D. (Erie)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9276300_B2|Surgical instruments|11/27/2012|3/1/2016|COVIDIEN|Mueller, Peter M. (Frederick)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H01M: PROCESSES OR MEANS, e.g. BATTERIES, FOR THE DIRECT CONVERSION OF CHEMICAL ENERGY INTO ELECTRICAL ENERGY"
US9839477_B2|Bipolar electrode probe for ablation monitoring|2/19/2010|12/12/2017|COVIDIEN|Brannan, Joseph D. (Erie)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9168031_B2|Expandable thoracic access port|8/12/2010|10/27/2015|"COVIDIEN;
TYCO HEALTHCARE"|"Beckett, Trevor (Cambridge);
Copeland, Thomas John Hector (Hertfordshire);
O'prey, Cormac (Hertfordshire);
Wilkins, Rebecca Ann (Hertfordshire);
Fuller, Daniel Leonard (Suffolk);
Brown, Stephen (Hertfordshire);
Silk, Christopher John (Cambridgeshire)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9375283_B2|Catheter with remotely extendible instruments|9/2/2008|6/28/2016|COVIDIEN|"Arts, Gene H. (Berthoud);
Kerr, Duane E. (Loveland);
Bahney, Timothy J. (Portland);
Nau, Jr. William H. (Longmont);
Carlton, John D. (Las Vegas)"|"A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US20140148803_A1|External actuator for an electrosurgical instrument|11/28/2012|5/29/2014|COVIDIEN|Taylor, Cody C. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9265515_B2|Coaxial coil lock|7/20/2011|2/23/2016|"COVIDIEN;
TYCO HEALTHCARE"|Mueller, Peter M. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9386980_B2|Wound closure device including direct-driven needle|10/1/2009|7/12/2016|"COVIDIEN;
TYCO HEALTHCARE"|Smith, Robert C. (Middlefield)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9116179_B2|System and method for voltage and current sensing|12/17/2012|8/25/2015|COVIDIEN|Gilbert, James A. (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01R: MEASURING ELECTRIC VARIABLES; MEASURING MAGNETIC VARIABLES"
US9415125_B2|Wireless, reusable, rechargeable medical sensors and system for recharging and disinfecting the same|5/2/2012|8/16/2016|COVIDIEN|"Schlottau, Friso (Lyons);
Chen, Bo (Louisville)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61L: METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES;
H02J: CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY"
US9921243_B2|System and method for voltage and current sensing|12/17/2012|3/20/2018|COVIDIEN|"Gilbert, James A. (Boulder);
Digmann, Patrick J. (Louisville);
Farrell, David (Louisville)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01R: MEASURING ELECTRIC VARIABLES; MEASURING MAGNETIC VARIABLES"
US20160249920_A1|Surgical fastener applying apparatus|11/4/2013|9/1/2016|COVIDIEN|"Garikipati, Kiran (Andhra Pradesh);
Katre, Nikhil R. (Maharashtra);
Dhakad, Harshottam Singh (Madhya Pradesh);
Gupta, Arvind Kumar (Uttar Pradesh);
Vivekanandan, Vinayan (Palakkad Kerala);
Patankar, Mangesh (Navi Mumbai Maharashtra)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20160262756_A1|Surgical fastener applying apparatus|11/4/2013|9/15/2016|COVIDIEN|"Shah, Sachin (Milford);
Katre, Nikhil R. (Maharashtra);
Shelke, Rajesh T. (Banglore);
Kapadia, Salman (Madhya Pradesh);
Patankar, Mangesh (Navi Mumbai Maharashtra)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20160270789_A1|Surgical fastener applying apparatus|11/4/2013|9/22/2016|COVIDIEN|"Garikipati, Kiran (Andhra Pradesh);
Katre, Nikhil R. (Maharashtra);
Dhakad, Harshottam Singh (Madhya Pradesh);
Vivekanandan, Vinayan (Kerala);
Gupta, Arvind Kumar (Uttar Pradesh);
Patankar, Mangesh (Navi Mumbai Maharashtra)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20160310136_A1|Surgical fastener applying apparatus|11/4/2013|10/27/2016|COVIDIEN|"Garikipati, Kiran (Andhra Pradesh);
Katre, Nikhil R. (Maharashtra);
Dhakad, Harshottam Singh (Madhya Pradesh);
Vivekanandan, Vinayan (Kerala);
Gupta, Arvind Kumar (Uttar Pradesh)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9532781_B2|Surgical tilt anvil assembly|8/12/2008|1/3/2017|"COVIDIEN;
TYCO HEALTHCARE"|"Milliman, Keith L. (Bethel);
Wenchell, Thomas (Durham);
Roy, Philip C. (Lafayette)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9241713_B2|Staple position sensor system|6/18/2010|1/26/2016|"COVIDIEN;
TYCO HEALTHCARE"|Okoniewski, Gregory (New Haven)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9307974_B2|Access assembly having undercut structure|12/20/2010|4/12/2016|COVIDIEN|Kleyman, Gennady (Brooklyn)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9788884_B2|Surgical instrument including inductively coupled accessory|1/19/2011|10/17/2017|COVIDIEN|Viola, Frank J. (Sandy Hook)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8870050_B2|Surgical stapling apparatus including releasable buttress|11/4/2011|10/28/2014|"COVIDIEN;
TYCO HEALTHCARE"|Hodgkinson, Gerald (Guilford)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9192407_B2|Wire guides and anchors for endoscopy|3/23/2011|11/24/2015|COVIDIEN|"Heinrich, Russell (Madison);
Viola, Frank (Sandy Hook);
Power, James M. (Madison)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9295522_B2|Medical device adapter with wrist mechanism|11/8/2013|3/29/2016|COVIDIEN|Kostrzewski, Stanislaw (Newtown)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
F16D: COUPLINGS FOR TRANSMITTING ROTATION; CLUTCHES; BRAKES;
F16H: GEARING;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9597110_B2|Tissue-removing catheter including operational control mechanism|11/8/2012|3/21/2017|COVIDIEN|"Kessler, Jason (Minneapolis);
Ladd, Bryan (Minneapolis);
Fruland, Benjamin (Blaine);
Nigh, Cassandra (Andover)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8968927_B2|Degradable implantable battery|7/15/2011|3/3/2015|COVIDIEN|"Hodgkinson, Gerald (Guilford);
Hadba, Ahmad Robert (Fort Worth);
Powers, William O. (Cheshire)"|"A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H01M: PROCESSES OR MEANS, e.g. BATTERIES, FOR THE DIRECT CONVERSION OF CHEMICAL ENERGY INTO ELECTRICAL ENERGY;
Y02E: REDUCTION OF GREENHOUSE GAS [GHG] EMISSIONS, RELATED TO ENERGY GENERATION, TRANSMISSION OR DISTRIBUTION"
US20140135811_A1|Occlusive devices|11/13/2012|5/15/2014|COVIDIEN|"Divino, Vincent (Mission Viejo);
Rhee, Richard (Anaheim);
Kulak, Julie (Trabuco Canyon);
Bardsley, Earl Frederick (San Clemente);
Kadam, Madhur Arunrao (Lake Forest)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US20140135810_A1|Occlusive devices|11/13/2012|5/15/2014|COVIDIEN|"Divino, Vincent (Mission Viejo);
Rhee, Richard (Anaheim);
Kulak, Julie (Trabuco Canyon);
Bardsley, Earl Frederick (San Clemente);
Kadam, Madhur Arunrao (Lake Forest)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US8979894_B2|Coated looped suture|4/8/2010|3/17/2015|COVIDIEN|"Hotter, Joseph (Middletown);
Hadba, Ahmad Robert (Middlefield);
Nebinger, Darlene (Oxford);
Thomas, Jonathan (New Haven);
Martin, Kenneth L. (Wallingford)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61L: METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES"
US9517070_B2|Anvil assembly and delivery system|11/13/2013|12/13/2016|COVIDIEN|Mulreed, Jeffrey (Shelton)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9554802_B2|Anvil assembly with frangible retaining member|11/13/2013|1/31/2017|COVIDIEN|"Williams, Justin (Naugatuck);
Mozdzierz, Patrick D. (Glastonbury);
Joyce, Steven (Wallingford)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9918863_B2|Steerable gastric calibration tube|11/13/2013|3/20/2018|COVIDIEN|Rokde, Rajat R. (Chandanagar Hyderabad)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US10327781_B2|Occlusive devices|11/13/2012|6/25/2019|COVIDIEN|"Divino, Vincent (Mission Viejo);
Rhee, Richard (Anaheim);
Kulak, Julie (Trabuco Canyon);
Bardsley, Earl Frederick (San Clemente);
Kadam, Madhur Arunrao (Lake Forest)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US9375260_B2|Surgical instrument with non-contact electrical coupling|4/12/2010|6/28/2016|"COVIDIEN;
TYCO HEALTHCARE"|Kerr, Duane E. (Loveland)|"H02J: CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US8858456_B2|Trachea pressure determination method and device|6/3/2009|10/14/2014|COVIDIEN|"Li, Youzhi (Longmont);
Hayman, Sarah (Boulder);
Wood, Lockett E. (Lyons)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US9357954_B2|Simultaneous measurement of pulse and regional blood oxygen saturation|11/12/2009|6/7/2016|COVIDIEN|"Addison, Paul Stanley (Edinburgh);
Li, Youzhi (Longmont);
Mckenna, Edward M. (Boulder);
Chen, Bo (Louisville)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9968352_B2|Concentric barbed suture|11/19/2012|5/15/2018|COVIDIEN|Hodgkinson, Gerald N. (Guilford)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US10470755_B2|Tissue fixation device|11/19/2012|11/12/2019|COVIDIEN|"Banerjee, Saumya (Hamden);
Maiorino, Nicholas (Branford);
Sargeant, Timothy (Guilford);
Desai, Arpan (Hamden);
Broom, Daniel (Branford);
Stopek, Joshua (Minneapolis);
Flavin, Timothy (Evanston)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US9480522_B2|Apparatus for performing an electrosurgical procedure|6/2/2010|11/1/2016|COVIDIEN|"Allen, Iv James D. (Broomfield);
Horner, Glenn A. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20140081329_A1|Tissue anchor applicator|10/9/2009|3/20/2014|"COVIDIEN;
TYCO HEALTHCARE"|Fischvogt, Gregory (Hamden)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20140228833_A1|System and method for hybrid polarized/non-polarized plasma beam coagulation for variable tissue effects|2/12/2013|8/14/2014|COVIDIEN|"Sartor, Joe D. (Longmont);
Friedrichs, Daniel (Aurora)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H05H: PLASMA TECHNIQUE ; PRODUCTION OF ACCELERATED ELECTRICALLY-CHARGED PARTICLES OR OF NEUTRONS ; PRODUCTION OR ACCELERATION OF NEUTRAL MOLECULAR OR ATOMIC BEAMS"
US9113907_B2|Vessel sealing instrument with cutting mechanism|9/18/2008|8/25/2015|"COVIDIEN;
TYCO HEALTHCARE"|"Allen, Iv James D. (Broomfield);
Horner, Glenn A. (Boulder);
Cunningham, James S. (Boulder);
Appel, Victor K. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9375261_B2|Limited-use medical device|1/17/2013|6/28/2016|COVIDIEN|"Joseph, Daniel A. (Golden);
Joseph, Leslie M. (Golden)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61L: METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES"
US9002192_B2|Breathable physiological sensor|5/14/2009|4/7/2015|COVIDIEN|"Anderson, Arik (Birmingham);
Gonopolskiy, Oleg (West Bloomfield)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20150066078_A1|Looped Tissue Fixation Device|11/30/2012|3/5/2015|COVIDIEN|"Banerjee, Saumya (Hamden);
Maiorino, Nicholas (Branford);
Sargeant, Timothy (Guilford);
Desai, Arpan (Hamden);
Broom, Daniel (Branford);
Stopek, Joshua (Minneapolis);
Flavin, Timothy (Evanston)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61L: METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES"
US20140083426_A1|Systems and methods for controlling a ventilator|8/20/2009|3/27/2014|COVIDIEN|"Mckenna, Edward M. (Boulder);
Chen, Bo (Louisville)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US10070915_B2|Hernia repair system|1/26/2010|9/11/2018|"COVIDIEN;
TYCO HEALTHCARE"|Craig, Jason L. (Loveland)|"A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US9270202_B2|Constant power inverter with crest factor control|3/11/2013|2/23/2016|COVIDIEN|"Johnson, Joshua H. (Arvada);
Tonn, Donald (Superior)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H02M: APPARATUS FOR CONVERSION BETWEEN AC AND AC, BETWEEN AC AND DC, OR BETWEEN DC AND DC, AND FOR USE WITH MAINS OR SIMILAR POWER SUPPLY SYSTEMS; CONVERSION OF DC OR AC INPUT POWER INTO SURGE OUTPUT POWER; CONTROL OR REGULATION THEREOF"
US9283028_B2|Crest-factor control of phase-shifted inverter|3/15/2013|3/15/2016|COVIDIEN|Johnson, Joshua H. (Arvada)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9375256_B2|Electrosurgical forceps|2/5/2013|6/28/2016|COVIDIEN|"Mueller, Peter M. (Frederick);
Cunningham, James S. (Boulder);
Evans, Allan J. (Golden);
Evans, Stephen (Westford);
White, Nathan (Longmont);
Schechter, David A. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9877769_B2|Electrosurgical devices, systems and methods of using the same|7/22/2008|1/30/2018|COVIDIEN|"Heard, David N. (Boulder);
Sartor, Joe D. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20160022222_A1|Systems for diagnosing and/or treating medical conditions|12/11/2012|1/28/2016|COVIDIEN|"Folk, Christopher (Los Angeles);
Kearns, Jacob (Laguna Hills)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US9375262_B2|Limited use medical devices|2/27/2013|6/28/2016|COVIDIEN|"Reschke, Arlen J. (Longmont);
Couture, Gary M. (Longmont);
Anderson, Sara E. (Erie);
Coulson, Rebecca J. (Lyons)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9498276_B2|Systems and methods for narrowband real impedance control in electrosurgery|3/15/2013|11/22/2016|COVIDIEN|Gilbert, James A. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20140100528_A1|Safety Catheter|9/26/2011|4/10/2014|COVIDIEN|"Finnestad, Mark Brian (Franklin);
Holley, Steven (Cumming)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US20140222048_A1|Debulking catheter|12/12/2012|8/7/2014|COVIDIEN|Ladd, Bryan (Minneapolis)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
F04C: ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS ; ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS"
US9186165_B2|Latch mechanism for surgical instruments|1/14/2011|11/17/2015|COVIDIEN|"Hempstead, Russell D. (Lafayette);
Hart, Keir (Lafayette);
Twomey, John R. (Superior)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9241734_B2|Tissue-removing catheter including screw blade and cutter driveshaft|12/12/2012|1/26/2016|COVIDIEN|"Schneider, Lucas (Champlin);
Ladd, Bryan (Minneapolis);
Vreeman, Daniel J. (Ostego)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9326761_B2|Multi-lumen access port|6/25/2008|5/3/2016|COVIDIEN|"Desantis, Robert J. (Redding);
Stellon, Gene A. (Burlington);
Wingardner, Iii Thomas (North Haven)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
